ID,Comment Text
91,lọc 1 đám fan hùa chỉ cần 1 tí vết nhơ trong sự nghiệp
92,Nét phít coi fim từ 25🐠 nhaa
93,thôi nghỉ hưu sớm
94,@Ha Trang 😭
95,@want bf to skip leg day 🫦
96,@y bờ. ra đời nể mỗi ổng😭😭😭
97,@Thích trai đẹp @vtad
98,@nhi nhí ྀི coi đi mâ
99,người cầm quyền lhooi phục uy quyền à😭@na @tudy.dddddd
100,@BC 😂
101,😍😍😍😍😍
102,🤣🤣🤣
103,😏
104,:))))
105,😞😞😞
106,🥰
107,❤️❤️❤️
108,😂
109,😆
110,😭😭😭
111,@N tui vẫn còn tin ảnh lắm bà oi🥹
112,🥰🥰
113,🥰🥰🥰
114,😁😁😁
115,@milk flower @草泠won 🍵
116,😎😎😎
117,🙈🙈🙈
118,😅🥺
119,😅😅😅
120,❤️❤️❤️❤️
121,💖💖💖
122,wao [写真]
123,mà dù thì dù chứ đám tang của nyc không đến thì cũng hơi bạc r😞 dù gì cũng là người từng thương mà🥲
124,Anh Kim Paris thiết nghĩ nên chuyển sang hoạt động tại VN. Chứ bên Hàn bên Trung họ thông minh quá. Có dân Việt mình… 👍
125,fan càng đông càng ủng hộ thì may ra chứ jo có tai tiếng cũng khó hào nhoáng như xưa
126,"HQ thiếu diễn viên à mà phải cãi nhau bênh nó đúng hay sai? Thêm nữa cuộc sống ko chỉ có đúng sai, mà còn có đạo lý, tình người. Người thiệt nhất vẫn là người đã khuất.."
127,"They're scared because we're supporting Kim SooHyun, they're threatening us and insulting us to make us give up. ❤❤❤ My answer, don't waste your time. !!😅"
128,"Cố lên anh. Vững vàng vượt qua đại nạn này rồi anh sẽ toả sáng trở lại. Sóng gió, bão dông đến thì phải gồng lên mà gánh thôi. Ko làm khác được. Tiền mất kiếm lại. Danh dự thì mình chỉ cần những ai tin và hiểu thôi. Còn bọn ngoài kia ko cần để ý, chúng nó chỉ tin vào những gì chúng nó muốn tin, còn ko bao giờ tin vào những gì nhìn thấy đâu😔"
129,@Bún trộn pò🫠 thôi đừng lắm chuyện
130,Bọn fan cuồng đang tẩy trắng cho bố nó 😂😂
131,Mình còn vài quyển album phim Nữ Hoàng Nước Mắt của anh KSH bạn nào cần ib mình nhé ❤️
132,Vậy còn vụ chụp màn hình tin nhắn gửi dispatch và gửi sdt gia đình KSR cho phóng viên thì sao á
133,🥰🥰🥰 dcm anh tui ko làm fan thất vọng yêu anh
134,😂😂🥰
135,Liêm trong vô liêm sĩ hả :))). Lo học hành đi mấy bé oi
136,Ủa tại s lại vô liêm sỉ v ạ ? Chị chỉ ra đc cái sai của ổng đi em theo chị liền
137,"GD, dispatch, các nhãn hàn, fan hàn, KJW xách đít chạy vội. chỉ có fan Việt là 1 lòng 1 dạ vs a th, mà a có thích VN đâu, kkk"
138,"Thắc mắc xíu là nếu KSH ko quen vtn, sao không kiện nhà KSR tội vu khống nhỉ. Vì nhà KSR ko kiện vì ko có tiền và theo luật thì 13t đc phép quen r"
139,bị tụi Hàn nó dắt giống vụ trung mèo béo ra tin đó để chuyển hướng dư luận vụ thả bom nhầm bên nó thôi
140,buồn cười vch @hg Vv
141,Bỏ con của chồng. Bị chồng up ảnh công khai lên nhưng lại tự tử vì nyc chia tay dc mấy năm. Logic của gia đình này sợ vl 😂
142,"sau vụ này mới biết ổng toàn fan rác với hùa, động tí drm là thấy quay lưng với ổng thì hiểu r"
143,t chỉ mắc cười cái cách người Hàn đem chuyện giải trí ra che đậy việc quân đội Hàn ném dân chủ vô khu dân cư dân thường :)) à drone vs trực thăng nữa
144,Lọc đc 1 đống fan hùa😘
145,Có cdb 😅
146,"Chưa kết thúc đâu các bà, viện kia chuẩn bị thả 💣"
147,bữa có 1 acc của con bé nào chửi t tại t ko hiểu thag cha này sai del gì t cũng im del cãi … h kím acc con khắm đó del thấy đâu 🤡
148,"Dính cái drama nhảm nhí này mà anh t bị mất chuỗi 15 năm sự nghiệp , đời tư trong sạch 🙄"
149,Lọc đc 1 số fan hùa cũng được.
150,Xin ổng nói lảm nhảm cho viện tung phần chấn động :))
151,Bỏ yêu tào lao đi nhen anh
152,Mong các anh sau này k yêu phải cô gái có gia đình mục nát như vậy. Còn các bác ở VN cứ bắt ngt phải chịu có lỗi mí chịu trong khi nc ngt k cấm. Ở vn chửa đẻ đẦy r đẤY. Mà làm như mn k yêu ở tuổi đó bh.
153,cười ia😂
154,"Làm vid pov nhưng t cảm nhận đây là fan ổng và có vẻ đang bất lực lắm đây, nên hơi mù quáng và ảo tưởng nhé =))"
155,"cả vtv nữa,hài ẻ luon😂"
156,Justiça por Kim Sae Ron 🕊️💐
157,NOT defending kim soo hyun here but when he was dating kim sae ron when she was a minor why didn’t HER parents interfere into the relationship when HE (kim soo hyun) and HER parents (sae rons parents) knew that it was wrong
158,Justice for Kim Saeron I hope truths will unfold
159,So he is the new korean drake now
160,"ok it's strange for him to date an underage girl, but we must remember one thing: in this relationship, Kim Sae-ron was also a willing participant. After all, it wasn't a forced relationship."
161,"He is an adult and she was a child,and he was famous its like trap dude.. he easily manipulated her.cant u think??"
162,I’m sorry but 15 is old enough
163,Bruh💀
164,y'all hated Kim sae ron when she posted that photo and now that she's gone y'all hate the guy too. Even if it's true you should not ruin his life just like what y'all did to kim sae ron is weird.
165,He didn't even show up at her funeral 💔
166,Soohyun No matter what I will be by your side. I will support you forever. I trust you. I know you are a good person. I know that there are people who try to frame you. 💕
167,girl????? 💀
168,A 12-year gap is fine but not when it’s with a MINOR
169,I mean it’s bad that they dated yea but then blaming the man for her death without evidence but not that long ago yall claimed she ended her life bc of the pain nd etc bc her scandal back before
170,"It’s not proven, don’t believe the rumors.🙏🏻"
171,So what if they dated? If they were in love and don’t act like y’all know everything because he didn’t grape her they DATED
172,u make me feel smart
173,"yall always blame the guy, but what about the girl? why is she even dating a 27 year old? that was HER choice and decision too 😭😂"
174,Because he gr**med her? Do you NOT understand what that means?? He held power over her head. He was around her since she was a CHILD. Of course we’re going to blame him??
175,the thing is she did wrong and she wanted to take responsibility for it. SHE NEVER RAN AWAY. she took on part time jobs to pay her agency back and what they (ksh) did was push her more to her fall
176,"How are people still hating on her even after her death. Its so hrtbreaking. HE was the adult, HE shouldve known better. She was just a child. May she rest in peace 🕊️"
177,"She had parents, for God's say's say, she should already be a mature at that age, she wasn't a 9-year-old girl"
178,SHE WAS 15 thats a litterally a child
179,its called age doesn't matter
180,when it comes to dating a minor. it’s wrong
181,perhaps this is false information.We need to wait for official confirmation.
182,"Girl, photos of them kissing on the cheek and almost on the lip are everywhere now. Please search. And today the Dispatch confirmed their relationship."
183,this korean celebrities are living their own kdrama's
184,"Im NOT defending him but, she was 15 and he was 27 , they dated for 6 years , her parents knew everything . Why didn’t they do something?…"
185,Why 27 yo guy wanna date a 15 in the first place then
186,Soo hyun is innocent !!! Why are you trying to end his career pleaseee
187,Girl bffr 💀
188,tho don’t care about him but why blame him alone ? First where were her parents and aunt when she was dating him ? 🙄They knew why now ? Second 15 still old enough to take responsibility while everyon
189,BRO IT DOESNT MATTER THEY CAN BE INLOVE IF THEY WANTED TO BRO SHE EVEN CHOOSE TO DATE HIM LEAVE HIM ALONE AGE GAP DONT MATTER LIKE YALL MAKE A BIG DEAL IT WAS THERE CHOICE BRO NOT YALLS
190,"Remember these all are allegations the aunt made, it still isn’t official"
191,girl theres photos of him kissing her
192,"yall gonna do him like his ex too, not siding or anything but both are in the wrong for dating and be in love apparently due to their age. Both should be held for accountable for their actions."
193,"minors are not wise enough to make a decision, it was the adult fault. plus why you want to blame her, she's not here anymore ...."
194,It's still an allegations there's no proof to whatever that has been told yet lol. yall really didn't learn any lessons from the past case huh?
195,"Sandara dated a middle schooler as an adult, but her career is totally fine. why is only Kim Soo-hyun being canceled? This is a clear double standard. If you’re going to cancel someone, cancel both."
196,I just wanna say somthing if she like dated him and she was 15 why didn't she just like left him if she knew he was older and why don't we wait for now one it can also be false accused??
197,why are u blaming on a minor? He def knew it was wrong to date minors but still do it anyway
198,It’s him loaning her money free of charge then turning around and suing her . She then begs him and promises she would pay back once she gets hired in projects and he refuses to let up .
199,#we love you kimsoohyun
200,who is we ??
201,"Those people who are saying” but he didn’t force her”, Minors are not mature enough to make responsible decisions, as much of their behavior is driven by impulse. If a teenage girl or boy develops +"
202,I can't believe that I admired him one day 💔
203,People are so jealous of him and made him fake rumors
204,Shouldn’t she be aware of her self that she’s dating someone who is older than her and he has nothing to do with her death so you guys should stop blaming him for her death and live a life.
205,"The girl herself wanted to have a relationship with him. Why is everyone talking like he forced her to love him? If the girl had any sense, she wouldn't have talked to him. It's not his fault."
206,"the girl was 15, and at that age ppl can take bad decisions..he was 27, he knew exactly what he was doing and knew it was wrong yet he took ADVANTAGE of her"
207,Drake is that u?
208,me finding out kim soo hyun do getting canceled was not my 2025 bingo card
209,why is everyone talking about kim saeron wen she is no more when she was alive and facing all this depression no one stood for her..that really sad
210,she coud have said no because of her age she knew better too..there would not have been a relationship it would not have reached this far
211,minors can be groomed remember that.
212,We don’t know anything that’s happening irl. These are just rumors
213,it was surprising at the time that he didn't attend her funeral.
214,Why did they waited until she passed??? That’s what make me it doubt it.. I never care for the actor. I know he’s good at it. But still that made it mad suspicious probably the family wants $$$$.
215,crazy how some ppl still defend him even after all the photos just because you find him attractive and you like his dramas
216,Korea social is dangerous
217,Bro!! why her family doesn't end their relationship!! stop bashing soo hyun and let the soul of the girl rest!!
218,"Monetarily: she owed his agency $473,000. This balance was due on December 31, 2023. His agency did not send her the repayment letter until March of 2024+"
219,This is not true
220,I feel sorry for Kim Sae Ron and I am also a fan of Kim Soo hyun. We can't just say that KSH is wrong in this matter. They have been together for 6 years. We can't blame just one side.
221,it's not official it's just a rumor but I hope it's not real
222,"There’s so many evidence out there now, he isn’t completely innocent. His disgusting past interviews, posts, and other allegations that were scrubbed by his PR are resurfacing"
223,no hate to saeron i dont really trust the guy but i mean wasnt she dating him two?And in the photo she was bigger dors she look uncomfortable i mean she was aware.
224,The thing is she was 15..it's easy to manipulate a 15 yo as a 27 yo. If she wanted to leave or smth he would've silenced her with money. We don't know everything that happened off screen but he is-
225,"So I want to get something straight was he the one that caused her death or it was it the people that prevented her from making a comeback, harassed and frustrated her to death??"
226,"the thing is, they’ve been together for 6 years. Y’all kept on blaming KSH but not her parents or aunt who’s now aloud when she’s already gone, but can’t even separate her from KSH during those years."
227,why is everyone hating on kim soo hyun without the Truth being revealed yet?
228,"he got exposed, please look into it. theres plenty of proof"
229,@😻😻😻😻😻: Why are people hating maybe you’re younger than her and would also date him if he proposed 💀
230,age just number!!!😭
231,be so frl that disgusting
232,She was not 15 YALL CMON
233,d**krider spotted.
234,They hear something nd runs with it and not wanting to hear the whole story… if Dey really was dating it’s bad but to sit here nd say that he did this and that nd tries to further it by searching
235,this is disturbing
236,These allegations are pure lies. the fact that these same people didn't say anything before she died. And now they are coming out to bully another actor
237,Theres so much proof.. nobody believed her.
238,"𝙸𝚗 𝚖𝚢 𝚌𝚘𝚞𝚗𝚝𝚛𝚢 𝚒𝚝'𝚜 𝚙𝚛𝚎𝚝𝚝𝚢 𝚗𝚘𝚛𝚖𝚊𝚕 𝚝𝚘 𝚜𝚎𝚎 𝚝𝚑𝚒𝚜 𝚊𝚐𝚎 𝚐𝚊𝚙 𝚒𝚗 𝚛𝚎𝚕𝚊𝚝𝚒𝚘𝚗𝚜𝚑𝚒𝚙𝚜. 𝙷𝚘𝚠𝚎𝚟𝚎𝚛, 𝚝𝚑𝚎 𝚙𝚊𝚛𝚎𝚗𝚝𝚜 𝚞𝚜𝚞𝚊𝚕𝚕𝚢 𝚊𝚕𝚕𝚘𝚠 𝚋𝚎+"
239,ok one thing I always didn't like about him: he always looked wayy too young ( they all do) but him especially idk on a weirdly way yk
240,bro wait yeah true she was only 15 but if she didn't want him this not gona be.But she also want him.Sooooo🤷‍♀️
