ID,Comment Text
72,"thật ra thì bả khổ, gd cũng k phải tốt gì với bả, từ nhỏ đã phải đi làm nuôi gd rồi."
73,ghép hình con rắn vô mặt mình thấy cx giống r đó. 😀
74,Y chang cái tên
75,thôi đi má
76,Gia đình ko có ở bên thì việc nghĩ quẩn là điều ko thể tránh khỏi
77,chưa đủ wow tiếp di
78,Vụ này căng nha
79,tiền vào cuộc cũng chưa lật kèo được đâu còn nhiều thứ ẩn khuất chờ ngày dc khui
80,Chị ngủ rồi mà hay cứ ồn ào quá
81,ê í là chtay 4 năm rồi tnhien bà mẹ đăng ảnh yêu nhau lên và mượn trả tiền dùm trong khi đã chtay?
82,sớm aaa🥵💝
83,"Hóng drama mà hóng ko tới, lên bài nhanh là hay🤡"
84,Chịu r thế cx ko tìm hiểu chọn lọc nx 🤡🤡
85,Tr bênh KSR chắc ln:()
86,"thấy xu hướng là điều hướng dư luận luôn, nể🙉"
87,ảnh mà lật đc kèo này ra đời em nể mỗi anh
88,Khổ thân KSH thấy drama này ổng ko làm gì sai
89,chia tay 4 năm rồi còn gì
90,Viện j đó chúng m nghe từng ủng hộ mĩ đánh việt nam 🥰
91,"hóng cho hết đi tr, nghe từ một phía như vậy cũng lên tóm tắt tình hình"
92,Bữa thấy ảnh “44 tại nhà riêng”🥰
93,sớm nè haii
94,"ưu điểm thích hóng thích tóm tắt
nhược điểm hóng ko tới mà thích gào mồm."
95,khổ thân chị Kim Saeron ghê á😭
96,Tui thắc mắc chối k hh vài lần rồi dsp tung ra kêu do tuổi nhà gái nên k công khai. Rồi bên đó tung ra từ 19t . Xin cái bằng chứng
97,Tui đọc thấy có thuyết âm mưu làm làm to vụ này lên để át cái vụ bên chính trị thả bom gì đó
98,t kh chưa hỉu vụ này á mn là ổg sai hay ổg đúg v 😭
99,sớm
100,rồi lên tập với đi trời đất con này nó nói gì tao thấy nó ...
101,"ê tính ra chủ tus ơi, ý là sao lên bài cập nhật chuyện mà toàn đổ qua lỗi kim soo huyn zậy, cái gì KSH đúng mà k lên mà toàn lên bài chỉ trích KSH v trời😇"
102,Làm vạn hạnh mall đi mom
103,Nghe kim soo hyun mở họp báo chx tr?
104,"từ đầu drama đến h chx thấy ksh sai chỗ nào , nếu có thì chắc là ko đi đám tang của ksr"
105,xem vụ lật kèo của a kia chưa sao kh thấy cập nhật tiếp vậy :)))
106,Cập nhật tin cho tới hnay đi b 😁
107,Ảnh lật kèo r bay ơi 🤡
108,Nói chi nhiều giờ cty chia cổ phần cho gđ KSR là drama này kết thúc liền à.
109,Nữa đi tung ảnh nữa đi t chưa đủ wow í í là t thấy mấy ảnh tung lên rất bt á (gió chiều nào theo chiều ấy thoi) ngta đáng thương nhất là KSR thôi
110,có ảnh mới bà hóng chưa bà ơi🤡
111,cú lừa valinetine
112,thế lực cỡ nào mà ko lên tiếng cha mẹ j kì zậy
113,"ngồi hóng kênh thứ 7 không fan ai
lúc ra kết quả t vs nói 😂😂"
114,T thấy đó h quậy cũng dừa r ..cũng nên dừng lại thôi k thì lại đi hơi xa
115,drama này lan man vaiz ò
116,bị garosero dắt mũi hả?
117,ad có cập nhật cái kênh viện đó thua kiện còn nhiều hơn là số ngày ksh hẹn hò ksr không nhỉ ?
118,nói mà t tưởng ng trong cuộc ko á 🥲
119,chủ tus như năm 2025 🙏
120,"Theo t là t thấy trong vụ này ksr đáng thương nhất t chỉ đứng ở phía là suy nghĩ của 1 người con gái khi yêu mà suy ra thôi, ksr yêu ổng nhìu cộng thêm việc có nợ nần các kiểu bị cdm chửi"
121,Ủng hộ bà
122,Vậy mà mí chuỵ vẫn bênh được mk cũng nể đó 😳
123,"cho hỏi ngu xíu, saranghezo là cgi v"
124,Lè nha lè nhè
125,Ê lên tiếp ik
126,Là ai đúng z??
127,tính ra mấy má cư dân mạng cũng như thám tử luôn =))
128,Hẹn hò mùa COVID vậy những bức ảnh đó chụp vào thời điểm nào vậy mn
129,Soi thì thôi nhé luôn 🥰
130,ê tính ra bả mất r mà cx ko đc yên nx ha
131,"M nghĩ do ksr không muốn tổn thương ksh nên k lên tiếng, giờ ksr mất rồi nên gđ mới lên tiếng á"
132,bt ảnh quá phim Nữ Hoàng Nước Mắt bias làm chồng giờ sắp mồ coi chồng luôn rồi 😞
133,"t thấy khổ người đã mất, lôi ngt lên cho bằng được"
134,+1 ng ko tin bất cứ phe nào🙃🙃
135,cảm ơn bạn.kkk. hóng chuyện mà ko rành tiếng Hàn khổ ghê 😂
136,kkkk
137,ủa chưa có chấm dứt hợp đồng mà🤔
138,M biết n sai ở đâu k sai vì là ng nổi tiếng đó
139,"ik từ hết wow này đến wow khác, tưởng lật mà ai ngờ lật 1 vòng tròn^^"
140,Đến cả người trong nghề biết mà có dám đâu nói gì người nhà kim searon
141,K qua được cộng đồng mạng hé 😂😂😂
142,có bà này hóng khỏe re
143,chx có đủ wow 😞
144,Anti hỏ bn
145,Prada chx chấm dứt hợp đồng nhaa
146,ê rồi cái dụ Thời Yên là cái gì bây🥰?
147,"Dịch đi 如果你能读懂这个：
然后你的父母会没事的。你的家人会有很多运气，一个健康幸福的家庭。
让我们传播这个吧"
148,rep e=))
149,KSH lên tiếng rồi mà 🤔
150,hết nhận oppa r
151,Ha ha
152,thích coi má này🥰
153,10🐠/1000 fl tíktók 💕
154,"Ê ý là có hóng hớt cho tới chưa vậy?
- Thứ nhất: mày kêu thời điểm đó KSH quyền lực cỡ nào nên gia đình KSR mới không dám làm bung bét vụ này. Ủa chứ giờ KSH bị đày xuống làm khổ sai rồi hay gì mà gia đình kia mới lên tiếng? Gia đình KSR ban đầu bóc phốt là do KSH ép trả khoản nợ 700tr won kia nên cô này mới 44, sau đó lại điều hướng dư luận thành KSH quen với trẻ vị thành niên? Rồi mày kêu cái kính KSH đeo được tặng 2015 thì chứng tỏ 2 người này quen từ thời điểm đó, ủa mắc gì đến năm 2019-2020 không được đeo tiếp vậy?"
155,"chuyện mệt ghê á riết thấy nó bth vãii cái t cần biết là ổng có quen bả ở tuổi vtn ko chứ ko phải mấy ảnh thân mật lúc iu đương của 2 ông bả, mà t hỏi thiệc nha bộ mik phải có hiểu với nyc tới cùng hả bay, chuyện của ksr vs ksh vs cty là xong từ 10 tháng trc r mà =))"
156,"1.Bức ảnh chụp trc năm 2017 vậy tại s cái cáo nike lại đc xác định sản xuất trong năm 2019😇 mua áo đến từ tlai à
2.Sao nhìn bức ảnh đó thì xác định đc ch đủ 19t( ý là phải giả ngầu ngầu và kh đc chụp hình kiểu cute thì mới đc nói là đủ tuổi à🥰) và còn cái kiểu tóc😓kh lẻ 1 năm đó ngta chỉ có thể để đc 1 kiểu tóc😇 với lại vc chuyển từ mái bằng sang mái bay dễ mà,tạo kiểu sấy vô nếp là xong(dù gì cái mái bả cũng đâu quá ngắn để kh tạo dc lại thành mái bay)
3. Còn cái kính,kh lẻ chỉ đc đeo 1 lần duy nhất trong đời,trong 1 năm duy nhất và kh đc tái dùng lại à🥰
Tao kh theo phe ai nhưng mà lý lẽ phải thuyết phục hơn nữa ngta mới tin đc🥲"
157,"T thấy bên thái có cái vụ năm 2014 KSH qua thái fan meeting xong tự nhiên muốn chơi cầu lông, bắt nhân viên phải chuẩn bị sân cho ổng trong khi đó hall đó là để cho fan meet mà nhân viên đã chuẩn bị ghế đầy đủ r mà ổng bắt cất đi dọn sân cho ổng chơi á"
158,@Mèo Không Bi @thomdeptrai888
